"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"76","cvae",10,"a",0,0.0165323580259329,0.000147720159113982,0.0166800781850469,25
"77","cvae",10,"d",0,0.219273957946159,3.63282185888432e-05,0.219310286164748,25
"78","cvae",10,"theta",0,0.318364734290074,0.00924374797632525,0.3276084822664,25
"79","cvae",3,"a",0.08333333,0.18844171023537,0.010736904065643,0.199178614301013,1
"80","cvae",3,"d",0.08333333,0.0582108828079449,0.000264651980171535,0.0584755347881164,1
"81","cvae",3,"theta",0.08333333,0.529152624441963,0.0327613693821813,0.561913993824144,1
"82","cvae",3,"a",0.08333333,0.0705076398827533,0.00225073425991136,0.0727583741426647,5
"83","cvae",3,"d",0.08333333,0.0440445820131874,8.68365365029271e-05,0.0441314185496903,5
"84","cvae",3,"theta",0.08333333,0.399612689252894,0.019795300892639,0.419407990145533,5
"85","cvae",3,"a",0.08333333,0.0266143223028656,0.000233703059433851,0.0268480253622995,25
"86","cvae",3,"d",0.08333333,0.0337734747352735,0.000135321394290389,0.0339087961295639,25
"87","cvae",3,"theta",0.08333333,0.361290199013194,0.00887055287183785,0.370160751885032,25
"88","cvae",10,"a",0.08333333,0.0646903978334936,0.0106251730986578,0.0753155709321514,1
"89","cvae",10,"d",0.08333333,0.15633136619753,0.00110732173574235,0.157438687933273,1
"90","cvae",10,"theta",0.08333333,0.395808820698174,0.0835723354135476,0.479381156111721,1
"91","cvae",10,"a",0.08333333,0.0279690230822014,0.00283384800464079,0.0308028710868422,5
"92","cvae",10,"d",0.08333333,0.199779668635824,0.000345439708790308,0.200125108344615,5
"93","cvae",10,"theta",0.08333333,0.344902857578987,0.0261669462522324,0.371069803831219,5
"94","cvae",10,"a",0.08333333,0.0178866332453407,0.000472577410026159,0.0183592106553669,25
"95","cvae",10,"d",0.08333333,0.211389299131565,4.42862808079382e-05,0.211433585412373,25
"96","cvae",10,"theta",0.08333333,0.332984529184073,0.0110285653868417,0.344013094570915,25
"97","cvae",3,"a",0.16666667,0.215132918032471,0.0136791688189769,0.228812086851448,1
"98","cvae",3,"d",0.16666667,0.0677791103544129,0.000489977447035823,0.0682690878014487,1
"99","cvae",3,"theta",0.16666667,0.552103722768509,0.038707629594203,0.590811352362712,1
"100","cvae",3,"a",0.16666667,0.0892644171919591,0.0017710225468408,0.0910354397387999,5
"101","cvae",3,"d",0.16666667,0.0500521413595071,7.68354801021209e-05,0.0501289768396092,5
"102","cvae",3,"theta",0.16666667,0.451486062934296,0.0176260658593673,0.469112128793663,5
"103","cvae",3,"a",0.16666667,0.0312109163403857,0.000626849048408613,0.0318377653887944,25
"104","cvae",3,"d",0.16666667,0.0398262784407588,0.000151953884244753,0.0399782323250035,25
"105","cvae",3,"theta",0.16666667,0.381562188644735,0.0101752540204152,0.39173744266515,25
"106","cvae",10,"a",0.16666667,0.0787554618343189,0.0133565350949357,0.0921119969292546,1
"107","cvae",10,"d",0.16666667,0.147392221144026,0.00057677146951921,0.147968992613545,1
"108","cvae",10,"theta",0.16666667,0.428835524681469,0.106162105329778,0.534997630011247,1
"109","cvae",10,"a",0.16666667,0.0323414839167825,0.00486274510495849,0.037204229021741,5
"110","cvae",10,"d",0.16666667,0.187240437716289,0.000369574777512175,0.187610012493801,5
